,centroidsX,centroidsY,centroidsZ,time0,time1,Duration
61,0.08888888888888888,0.9222222222222223,-3.6000000000000005,63726718837795.0,63726718838215.0,420.0
62,-0.09999999999999999,1.0,-3.6000000000000005,63726718838320.0,63726718838794.0,474.0
63,0.125,0.9249999999999999,-3.6,63726718838853.0,63726718839014.0,161.0
64,0.0,0.9333333333333335,-3.6,63726718839165.0,63726718839428.0,263.0
65,-0.19999999999999998,0.7125000000000001,-3.5,63726718839480.0,63726718839844.0,364.0
66,0.06666666666666667,0.7666666666666665,-3.6000000000000005,63726718839900.0,63726718840317.0,417.0
67,-0.20000000000000004,0.7333333333333334,-3.5,63726718840377.0,63726718840481.0,104.0
68,0.09999999999999999,0.7833333333333333,-3.6,63726718840533.0,63726718840802.0,269.0
69,0.3142857142857142,0.6857142857142857,-3.6000000000000005,63726718840864.0,63726718841181.0,317.0
70,0.0,0.7111111111111112,-3.6000000000000005,63726718841234.0,63726718841648.0,414.0
71,-0.375,0.8,-3.5,63726718841699.0,63726718841890.0,191.0
72,0.075,0.7083333333333335,-3.5916666666666672,63726718841943.0,63726718842769.0,826.0
73,0.15,0.6499999999999999,-3.6,63726718842837.0,63726718842941.0,104.0
74,0.0,0.8,-3.6,63726718842994.0,63726718843193.0,199.0
75,-0.09999999999999999,0.8875000000000002,-3.5,63726718843243.0,63726718843619.0,376.0
76,0.09999999999999999,0.9000000000000001,-3.6000000000000005,63726718843668.0,63726718843986.0,318.0
77,-0.2,0.9,-3.5,63726718844037.0,63726718844243.0,206.0
78,0.15714285714285717,0.8285714285714286,-3.6000000000000005,63726718844293.0,63726718844617.0,324.0
79,-0.08333333333333333,0.9,-3.6,63726718844667.0,63726718844929.0,262.0
80,0.24,0.8,-3.6,63726718845031.0,63726718845234.0,203.0
81,-0.09999999999999999,0.8090909090909091,-3.600000000000001,63726718845285.0,63726718845826.0,541.0
82,0.19999999999999998,0.7999999999999999,-3.600000000000001,63726718845886.0,63726718846410.0,524.0
83,-0.030000000000000006,0.8600000000000001,-3.5900000000000007,63726718846462.0,63726718847041.0,579.0
84,-0.12857142857142861,1.0,-3.5,63726718847089.0,63726718847769.0,680.0
85,0.09999999999999999,0.9000000000000001,-3.6000000000000005,63726718847824.0,63726718848136.0,312.0
86,-0.09999999999999999,1.0,-3.5142857142857147,63726718848186.0,63726718848499.0,313.0
87,0.09999999999999999,1.0999999999999999,-3.6000000000000005,63726718848554.0,63726718848825.0,271.0
88,-0.18999999999999997,1.0999999999999999,-3.5,63726718848889.0,63726718849187.0,298.0
89,0.09999999999999999,0.9750000000000001,-3.6000000000000005,63726718849221.0,63726718849426.0,205.0
90,0.0,0.7999999999999999,-3.6000000000000005,63726718849484.0,63726718849746.0,262.0
91,0.0,0.9000000000000001,-3.6000000000000005,63726718849775.0,63726718849978.0,203.0
92,-0.15555555555555556,0.611111111111111,-3.5,63726718850065.0,63726718850297.0,232.0
93,0.0,0.5999999999999999,-3.600000000000001,63726718850328.0,63726718850796.0,468.0
94,-0.10000000000000003,0.5999999999999999,-3.6000000000000005,63726718850826.0,63726718851321.0,495.0
